Model,Accuracy,Precision,Recall,F1,ROC-AUC,Training Time (sec)
Random Forest,0.6080377321411025,0.16409652736904062,0.6138265081461911,0.2589634033067063,0.6594723586452829,15.574980020523071
Decision Tree,0.6067603419475287,0.16625916870415647,0.6287978863936592,0.26298342541436465,0.6549953267253671,22.409411191940308
Logistic Regression,0.6418394418787462,0.16642296956001595,0.551298987230295,0.2556667347355524,0.6439962623543237,43.52000427246094
